taxon	min_age	max_age
Aceratherium_incisivum	5.00	14.20
Acerorhinus_zernowi	7.10	12.85
Alicornops_alfambrense	7.60	9.90
Alicornops_complanatum	7.20	11.63
Alicornops_simorrense	8.90	14.20
Aprotodon_fatehjangense	11.20	19.50
Brachypotherium_brachypus	9.90	17.20
Brachypotherium_perimense	5.30	14.89
Bugtirhinus_praecursor	17.20	23.03
Ceratotherium_neumayri	4.50	11.20
Ceratotherium_simum	0.00	5.33
Chilotherium_anderssoni	5.30	7.20
Chilotherium_kowalevskii	7.10	9.90
Chilotherium_perisae	7.10	8.90
Coelodonta_antiquitatis	0.01	2.58
Diaceratherium_lemanense	19.50	23.86
Diceratherium_sp	13.82	33.90
Dicerorhinus_fusuiensis	0.54	2.58
Dicerorhinus_sumatrensis	0.00	1.90
Diceros_bicornis	0.00	7.25
Diceros_praecox	2.40	7.44
Dihoplus_schleiermacheri	4.41	11.23
Dromoceratherium_mirallesi	14.20	17.20
Elasmotherium_sibiricum	0.039	2.58
Epiaceratherium_bolcense	32.63	33.77
Epiaceratherium_delemontense	27.24	32.63
Gaindatherium_browni	7.20	15.97
Hispanotherium_beonense	16.40	17.20
Hoploaceratherium_tetradactylum	9.90	17.20
Hyrachyus_eximius	45.38	49.27
Hyracodon_nebraskensis	28.00	37.39
Lartetotherium_sansaniense	9.90	18.00
Menoceras_arikarense	17.34	22.20
Metamynodon_planifrons	32.10	33.90
Nesorhinus_hayasakai	0.50	0.90
Nesorhinus_philippinensis	0.60	0.80
Paraceratherium_bugtiense	23.03	27.82
Paraceratherium_grangeri	23.03	33.90
Plesiaceratherium_fahlbuschi	12.85	16.40
Pleuroceros_blanfordi	16.40	23.03
Pleuroceros_pleuroceros	19.50	23.26
Pliorhinus_miguelcrusafonti	3.55	5.00
Pliorhinus_ringstroemi	5.30	8.90
Prosantorhinus_douvillei	14.20	17.20
Protaceratherium_minutum	16.40	23.26
Rhinoceros_kendengindicus	0.60	1.30
Rhinoceros_platyrhinus	0.52	2.58
Rhinoceros_sinensis	0.01	1.98
Rhinoceros_sondaicus	0.00	1.90
Rhinoceros_unicornis	0.00	1.97
Ronzotherium_filholi	27.24	33.90
Ronzotherium_romani	23.00	29.97
Sellamynodon_zimborensis	27.30	37.71
Shansirhinus_ringstromi	2.60	7.20
Stephanorhinus_etruscus	0.42	3.60
Stephanorhinus_kirchbergensis	0.01	1.66
Pliorhinus_megarhinus	1.90	5.33
Stephanorhinus_pikermiensis	7.10	9.90
Subhyracodon_mitis	33.90	35.92
Tapirus_terrestris	0.00	2.58
Teleoceras_aepysoma	4.61	5.91
Trigonias_osborni	33.90	37.39
Victoriaceros_hooijeri	16.40	17.20
